"model","prec","rec","F1"
"mc.svm",0.296360738262764,0.477679699518938,0.329926971882308
"mc.svm_UNDERB1",0.508474332627161,0.501504766502086,0.507603528749919
"mc.svm_UNDERB2",0.46179719394391,0.528292986119302,0.49884335459373
"mc.svm_UNDERB3",0.428565489087428,0.525383464194662,0.468690046038578
"mc.svm_UNDERB4",0.317846381104798,0.454541672537172,0.455759470483464
"mc.svm_UNDERB5",0.495116478220732,0.488519557675063,0.491557560191026
"mc.svm_UNDERB6",0.489674799378698,0.494538167685256,0.488669402922838
"mc.svm_UNDERB7",0.437814504114283,0.476243627903561,0.467244816448024
"mc.svm_UNDERB8",0.452569485851275,0.482811500093985,0.460521806506396
"mc.svm_UNDERB9",0.416769645040445,0.480875552230139,0.434481955884371
"mc.svm_UNDERB10",0.110872568623348,0.441306312387289,1.99995459349312e-05
"mc.svm_UNDERB11",0.522884210259155,0.478294593685806,0.49424941324118
"mc.svm_UNDERB12",0.533410705391093,0.481497621558792,0.503607579342726
"mc.svm_UNDERB13",0.217736311171404,0.468624010007947,1.99995825311382e-05
"mc.svm_UNDERB14",0.37897447408558,0.490290911004671,0.465780307566978
"mc.svm_UNDERB15",0.440168182202981,0.499116553401696,0.491327640285453
"mc.svm_UNDERB16",1e-05,0.427453591480476,1.99995264805341e-05
"mc.svm_UNDERB17",0.186887205553356,0.459919077394458,1.99995666362991e-05
"mc.svm_UNDERB18",0.188046433338538,0.465603086436881,1.9999569782378e-05
"mc.svm_UNDERB19",0.170293361825476,0.456087544678075,1.99995706846046e-05
"mc.svm_UNDERB20",0.340152587866859,0.485296926700077,0.415523905817289
"mc.svm_UNDERB21",0.394442477441613,0.490600994324016,0.432217098392819
"mc.svm_UNDERB22",1e-05,0.423320016806674,1.99995291705066e-05
"mc.svm_UNDERB23",0.133651193410352,0.444742455749234,1.9999553958724e-05
"mc.svm_UNDERB24",0.269204508661303,0.449509185665397,1.99995677383022e-05
"mc.svm_UNDERB25",0.178713844856884,0.45320802864856,1.99995644308555e-05
"mc.svm_UNDERB26",0.31292739376221,0.48331583370989,0.443381882283485
"mc.svm_UNDERB27",0.426102406434099,0.485395433850361,0.447385882739116
"mc.svm_UNDERB28",1e-05,0.422682221635123,1.99995243560291e-05
