dataset_id,workflow,model_family,strategy,iteration,sera
DS13,mc.BDES,BDES,baseline,1,14555.42085504471
DS13,mc.BDES,BDES,baseline,2,16535.572559287244
DS13,mc.BDES,BDES,baseline,3,16192.598987463774
DS13,mc.BDES,BDES,baseline,4,16561.30671625849
DS13,mc.BDES,BDES,baseline,5,18589.684216876063
DS13,mc.BDES,BDES,baseline,6,20035.399996372053
DS13,mc.BDES,BDES,baseline,7,20103.797541565353
DS13,mc.BDES,BDES,baseline,8,20949.932124334857
DS13,mc.BDES,BDES,baseline,9,21348.933075852074
DS13,mc.BDES,BDES,baseline,10,21732.574329803596
DS13,mc.BDES,BDES,baseline,11,22944.04864519203
DS13,mc.BDES,BDES,baseline,12,23494.63952993886
DS13,mc.BDES,BDES,baseline,13,23747.28353134974
DS13,mc.BDES,BDES,baseline,14,23932.684371138657
DS13,mc.BDES,BDES,baseline,15,24212.975042766793
DS13,mc.BDES,BDES,baseline,16,25641.89340727605
DS13,mc.BDES,BDES,baseline,17,26306.523773657198
DS13,mc.BDES,BDES,baseline,18,27022.428584629182
DS13,mc.BDES,BDES,baseline,19,26779.426382931862
DS13,mc.BDES,BDES,baseline,20,35596.79921266921
DS13,mc.BDES,BDES,baseline,21,36013.5405293524
DS13,mc.BDES,BDES,baseline,22,37077.94960103887
DS13,mc.BDES,BDES,baseline,23,35489.4010102774
DS13,mc.BDES,BDES,baseline,24,35686.214064528496
DS13,mc.BDES,BDES,baseline,25,35360.884431965955
DS13,mc.BDES,BDES,baseline,26,36825.43830760891
DS13,mc.BDES,BDES,baseline,27,37362.326472223824
DS13,mc.BDES,BDES,baseline,28,37527.33018685372
DS13,mc.BDES,BDES,baseline,29,37087.03029159883
DS13,mc.BDES,BDES,baseline,30,38218.89391020824
DS13,mc.BDES,BDES,baseline,31,37672.130656266105
DS13,mc.BDES,BDES,baseline,32,38298.662736912316
DS13,mc.BDES,BDES,baseline,33,38229.626382715716
DS13,mc.BDES,BDES,baseline,34,37968.50428716652
DS13,mc.BDES,BDES,baseline,35,38443.4771842725
DS13,mc.BDES,BDES,baseline,36,38139.73587065423
DS13,mc.BDES,BDES,baseline,37,38239.18885325139
DS13,mc.BDES,BDES,baseline,38,39088.63236995384
DS13,mc.BDES,BDES,baseline,39,38763.64995082919
DS13,mc.BDES,BDES,baseline,40,38308.550228611304
DS13,mc.BDES,BDES,baseline,41,38108.33488642954
DS13,mc.BDES,BDES,baseline,42,38671.694631812556
DS13,mc.BDES,BDES,baseline,43,39514.728044272946
DS13,mc.BDES,BDES,baseline,44,38891.79151915721
DS13,mc.BDES,BDES,baseline,45,38457.28052934282
DS13,mc.BDES,BDES,baseline,46,38842.97915375145
DS13,mc.BDES,BDES,baseline,47,38483.346135343854
DS13,mc.BDES,BDES,baseline,48,38653.889742080464
DS13,mc.BDES,BDES,baseline,49,38325.87378272889
DS13,mc.BDES,BDES,baseline,50,36990.58327077322
DS13,mc.arima,arima,baseline,1,15171.680960762074
DS13,mc.arima,arima,baseline,2,17215.19331244802
DS13,mc.arima,arima,baseline,3,16973.915049466395
DS13,mc.arima,arima,baseline,4,17533.479972535868
DS13,mc.arima,arima,baseline,5,20207.787048272032
DS13,mc.arima,arima,baseline,6,21274.28760320705
DS13,mc.arima,arima,baseline,7,21909.616009197278
DS13,mc.arima,arima,baseline,8,22299.28721909093
DS13,mc.arima,arima,baseline,9,22582.861161388566
DS13,mc.arima,arima,baseline,10,23647.29446440512
DS13,mc.arima,arima,baseline,11,24335.227212586124
DS13,mc.arima,arima,baseline,12,25016.697541141766
DS13,mc.arima,arima,baseline,13,25054.76992255403
DS13,mc.arima,arima,baseline,14,25060.666997333217
DS13,mc.arima,arima,baseline,15,25635.523126855947
DS13,mc.arima,arima,baseline,16,26677.90639438089
DS13,mc.arima,arima,baseline,17,27273.240719263686
DS13,mc.arima,arima,baseline,18,27670.896872165507
DS13,mc.arima,arima,baseline,19,27472.32857993027
DS13,mc.arima,arima,baseline,20,36804.78841869416
DS13,mc.arima,arima,baseline,21,36938.570073252245
DS13,mc.arima,arima,baseline,22,38217.00820040506
DS13,mc.arima,arima,baseline,23,36746.06575500431
DS13,mc.arima,arima,baseline,24,37582.28386138159
DS13,mc.arima,arima,baseline,25,37382.646072440504
DS13,mc.arima,arima,baseline,26,40098.60309998272
DS13,mc.arima,arima,baseline,27,38832.79408638894
DS13,mc.arima,arima,baseline,28,39007.37767564922
DS13,mc.arima,arima,baseline,29,39153.11937315775
DS13,mc.arima,arima,baseline,30,39415.97535164437
DS13,mc.arima,arima,baseline,31,39153.21832203998
DS13,mc.arima,arima,baseline,32,39763.73775541227
DS13,mc.arima,arima,baseline,33,39750.88744736433
DS13,mc.arima,arima,baseline,34,40514.259212983525
DS13,mc.arima,arima,baseline,35,39785.54320110745
DS13,mc.arima,arima,baseline,36,39968.608306700124
DS13,mc.arima,arima,baseline,37,39996.72889080969
DS13,mc.arima,arima,baseline,38,40640.51159570677
DS13,mc.arima,arima,baseline,39,41121.07066283606
DS13,mc.arima,arima,baseline,40,41765.16695231366
DS13,mc.arima,arima,baseline,41,41233.10504922066
DS13,mc.arima,arima,baseline,42,43971.58806650256
DS13,mc.arima,arima,baseline,43,40773.22623207499
DS13,mc.arima,arima,baseline,44,40088.753078381655
DS13,mc.arima,arima,baseline,45,39721.03390134351
DS13,mc.arima,arima,baseline,46,39987.256976188015
DS13,mc.arima,arima,baseline,47,40623.40065698718
DS13,mc.arima,arima,baseline,48,40056.790451514025
DS13,mc.arima,arima,baseline,49,39378.27365702797
DS13,mc.arima,arima,baseline,50,39002.86924189311
DS13,mc.lm_OVERB,lm,OVERB,1,12955.53722769494
DS13,mc.lm_OVERB,lm,OVERB,2,14348.06934509307
DS13,mc.lm_OVERB,lm,OVERB,3,15059.809012006988
DS13,mc.lm_OVERB,lm,OVERB,4,14628.348106134736
DS13,mc.lm_OVERB,lm,OVERB,5,16303.759037030046
DS13,mc.lm_OVERB,lm,OVERB,6,18139.59211470582
DS13,mc.lm_OVERB,lm,OVERB,7,18571.716955693544
DS13,mc.lm_OVERB,lm,OVERB,8,17850.846128791647
DS13,mc.lm_OVERB,lm,OVERB,9,17850.049813917794
DS13,mc.lm_OVERB,lm,OVERB,10,18283.40193262405
DS13,mc.lm_OVERB,lm,OVERB,11,18867.155225472703
DS13,mc.lm_OVERB,lm,OVERB,12,19798.017963033803
DS13,mc.lm_OVERB,lm,OVERB,13,19220.731997594583
DS13,mc.lm_OVERB,lm,OVERB,14,19337.128870612534
DS13,mc.lm_OVERB,lm,OVERB,15,19859.096245336877
DS13,mc.lm_OVERB,lm,OVERB,16,20827.752496914476
DS13,mc.lm_OVERB,lm,OVERB,17,20480.065665322465
DS13,mc.lm_OVERB,lm,OVERB,18,21036.84973271498
DS13,mc.lm_OVERB,lm,OVERB,19,20899.024220364558
DS13,mc.lm_OVERB,lm,OVERB,20,32571.097687286485
DS13,mc.lm_OVERB,lm,OVERB,21,31631.90160547794
DS13,mc.lm_OVERB,lm,OVERB,22,32867.01645870799
DS13,mc.lm_OVERB,lm,OVERB,23,31042.506444755614
DS13,mc.lm_OVERB,lm,OVERB,24,32381.909918850524
DS13,mc.lm_OVERB,lm,OVERB,25,30789.61812724722
DS13,mc.lm_OVERB,lm,OVERB,26,31924.807104790034
DS13,mc.lm_OVERB,lm,OVERB,27,32125.680133177146
DS13,mc.lm_OVERB,lm,OVERB,28,33415.75433241396
DS13,mc.lm_OVERB,lm,OVERB,29,33957.58340449706
DS13,mc.lm_OVERB,lm,OVERB,30,34841.21827384712
DS13,mc.lm_OVERB,lm,OVERB,31,33297.31292084
DS13,mc.lm_OVERB,lm,OVERB,32,34881.20560679281
DS13,mc.lm_OVERB,lm,OVERB,33,34016.85114225588
DS13,mc.lm_OVERB,lm,OVERB,34,33353.85767478765
DS13,mc.lm_OVERB,lm,OVERB,35,34687.79950772163
DS13,mc.lm_OVERB,lm,OVERB,36,32964.989767765524
DS13,mc.lm_OVERB,lm,OVERB,37,33966.47841787265
DS13,mc.lm_OVERB,lm,OVERB,38,34525.67198979618
DS13,mc.lm_OVERB,lm,OVERB,39,34988.248015846446
DS13,mc.lm_OVERB,lm,OVERB,40,34025.077286337335
DS13,mc.lm_OVERB,lm,OVERB,41,33229.36479005282
DS13,mc.lm_OVERB,lm,OVERB,42,34573.232330290164
DS13,mc.lm_OVERB,lm,OVERB,43,32424.13877576576
DS13,mc.lm_OVERB,lm,OVERB,44,31674.078764422447
DS13,mc.lm_OVERB,lm,OVERB,45,32241.776649293108
DS13,mc.lm_OVERB,lm,OVERB,46,33728.36823869562
DS13,mc.lm_OVERB,lm,OVERB,47,33610.437432513376
DS13,mc.lm_OVERB,lm,OVERB,48,32704.786363321702
DS13,mc.lm_OVERB,lm,OVERB,49,32351.099110046263
DS13,mc.lm_OVERB,lm,OVERB,50,31654.432854906023
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,1,12021.072173180277
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,2,13632.250853884416
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,3,13800.329971367439
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,4,13516.276419987147
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,5,15384.73071535341
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,6,17522.755460866316
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,7,17697.078227274484
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,8,17598.385846428093
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,9,17973.921230387667
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,10,18427.421680239433
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,11,19431.090242535687
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,12,19331.27926569998
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,13,19929.911039413713
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,14,20001.790058024868
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,15,20247.939382299854
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,16,20857.135991592095
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,17,20565.521288348154
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,18,21358.726967068083
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,19,21761.329698268473
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,20,32865.866910925826
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,21,33827.980401929555
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,22,34350.75126626074
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,23,31665.33378472844
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,24,30966.348296762757
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,25,31284.659111660094
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,26,32571.311164094237
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,27,32903.54066206613
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,28,33570.980553663125
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,29,34895.66310939445
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,30,32463.650119949034
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,31,35632.57130723415
DS13,mc.lm_OVERTPhi,lm,OVERTPhi,32,33303.657677777446
