dataset_id,workflow,model_family,strategy,iteration,sera
DS08,mc.BDES,BDES,baseline,1,22098211.73950818
DS08,mc.BDES,BDES,baseline,2,22122330.045771603
DS08,mc.BDES,BDES,baseline,3,22291203.282466434
DS08,mc.BDES,BDES,baseline,4,23988386.138423692
DS08,mc.BDES,BDES,baseline,5,25507761.507701937
DS08,mc.BDES,BDES,baseline,6,26449494.37764166
DS08,mc.BDES,BDES,baseline,7,26458063.971073985
DS08,mc.BDES,BDES,baseline,8,26699513.038387008
DS08,mc.BDES,BDES,baseline,9,27130363.032639466
DS08,mc.BDES,BDES,baseline,10,27362494.96199373
DS08,mc.BDES,BDES,baseline,11,27743209.932017498
DS08,mc.BDES,BDES,baseline,12,27779806.124274604
DS08,mc.BDES,BDES,baseline,13,28198472.957047086
DS08,mc.BDES,BDES,baseline,14,28448660.304725893
DS08,mc.BDES,BDES,baseline,15,28477731.10003149
DS08,mc.BDES,BDES,baseline,16,28916442.58596682
DS08,mc.BDES,BDES,baseline,17,28991094.53201377
DS08,mc.BDES,BDES,baseline,18,29405186.463341236
DS08,mc.BDES,BDES,baseline,19,29664958.67011003
DS08,mc.BDES,BDES,baseline,20,29565171.74236771
DS08,mc.BDES,BDES,baseline,21,29782340.82266217
DS08,mc.BDES,BDES,baseline,22,29885240.17100044
DS08,mc.BDES,BDES,baseline,23,30699747.149281137
DS08,mc.BDES,BDES,baseline,24,32056196.6511011
DS08,mc.BDES,BDES,baseline,25,32475073.075424246
DS08,mc.BDES,BDES,baseline,26,32867033.645693567
DS08,mc.BDES,BDES,baseline,27,33074152.909832302
DS08,mc.BDES,BDES,baseline,28,32825292.21581062
DS08,mc.BDES,BDES,baseline,29,33155733.68045533
DS08,mc.BDES,BDES,baseline,30,32725536.91825376
DS08,mc.BDES,BDES,baseline,31,32538975.37250571
DS08,mc.BDES,BDES,baseline,32,32869894.349897876
DS08,mc.BDES,BDES,baseline,33,32592411.345533416
DS08,mc.BDES,BDES,baseline,34,32891047.626229934
DS08,mc.BDES,BDES,baseline,35,32887991.223745108
DS08,mc.BDES,BDES,baseline,36,32925905.60612931
DS08,mc.BDES,BDES,baseline,37,32767924.481432218
DS08,mc.BDES,BDES,baseline,38,32468015.55555877
DS08,mc.BDES,BDES,baseline,39,32150956.678595643
DS08,mc.BDES,BDES,baseline,40,31789808.763203323
DS08,mc.BDES,BDES,baseline,41,29185243.72801272
DS08,mc.BDES,BDES,baseline,42,29167357.65333702
DS08,mc.BDES,BDES,baseline,43,28578329.77863933
DS08,mc.BDES,BDES,baseline,44,28393467.395490363
DS08,mc.BDES,BDES,baseline,45,27650248.5686928
DS08,mc.BDES,BDES,baseline,46,27143106.26148724
DS08,mc.BDES,BDES,baseline,47,26795222.51350702
DS08,mc.BDES,BDES,baseline,48,25135714.82370244
DS08,mc.BDES,BDES,baseline,49,25150353.374643702
DS08,mc.BDES,BDES,baseline,50,23207268.3196988
DS08,mc.arima,arima,baseline,1,42387001.492783874
DS08,mc.arima,arima,baseline,2,42618265.055516854
DS08,mc.arima,arima,baseline,3,42687667.74498698
DS08,mc.arima,arima,baseline,4,45518320.16264544
DS08,mc.arima,arima,baseline,5,47317406.85553369
DS08,mc.arima,arima,baseline,6,48400922.835675046
DS08,mc.arima,arima,baseline,7,48422659.5588789
