dataset_id,workflow,model_family,strategy,iteration,sera
DS04,mc.BDES,BDES,baseline,1,156161477.52507263
DS04,mc.BDES,BDES,baseline,2,156449116.01918948
DS04,mc.BDES,BDES,baseline,3,156190809.55013323
DS04,mc.BDES,BDES,baseline,4,155570678.22881398
DS04,mc.BDES,BDES,baseline,5,157965911.46366823
DS04,mc.BDES,BDES,baseline,6,156782532.9352769
DS04,mc.BDES,BDES,baseline,7,156037538.01873466
DS04,mc.BDES,BDES,baseline,8,154299319.43029597
DS04,mc.BDES,BDES,baseline,9,153260691.84334925
DS04,mc.BDES,BDES,baseline,10,152837105.74563894
DS04,mc.BDES,BDES,baseline,11,151108547.6361032
DS04,mc.BDES,BDES,baseline,12,149520689.11861065
DS04,mc.BDES,BDES,baseline,13,149824797.4381401
DS04,mc.BDES,BDES,baseline,14,148243238.03123462
DS04,mc.BDES,BDES,baseline,15,146999048.17470354
DS04,mc.BDES,BDES,baseline,16,153514038.46540946
DS04,mc.BDES,BDES,baseline,17,153677770.09288132
DS04,mc.BDES,BDES,baseline,18,153582550.22810712
DS04,mc.BDES,BDES,baseline,19,151396296.3784929
DS04,mc.BDES,BDES,baseline,20,144779511.3440969
DS04,mc.BDES,BDES,baseline,21,149106906.56568518
DS04,mc.BDES,BDES,baseline,22,149290027.26029563
DS04,mc.BDES,BDES,baseline,23,138550255.67963767
DS04,mc.BDES,BDES,baseline,24,147516904.2698455
DS04,mc.BDES,BDES,baseline,25,128814433.1392938
DS04,mc.BDES,BDES,baseline,26,128526270.43801536
DS04,mc.BDES,BDES,baseline,27,132712348.26253015
DS04,mc.BDES,BDES,baseline,28,137200696.45082912
DS04,mc.BDES,BDES,baseline,29,137700420.97154725
DS04,mc.BDES,BDES,baseline,30,139859386.6025402
DS04,mc.BDES,BDES,baseline,31,155051924.64016062
DS04,mc.BDES,BDES,baseline,32,124456419.4247452
DS04,mc.BDES,BDES,baseline,33,113506582.20407909
DS04,mc.BDES,BDES,baseline,34,113307289.23563103
DS04,mc.BDES,BDES,baseline,35,113741091.17019247
DS04,mc.BDES,BDES,baseline,36,111033071.47941688
DS04,mc.BDES,BDES,baseline,37,148914702.10946015
DS04,mc.BDES,BDES,baseline,38,168053235.51546907
DS04,mc.BDES,BDES,baseline,39,164969975.80557537
DS04,mc.BDES,BDES,baseline,40,144144563.98594344
DS04,mc.BDES,BDES,baseline,41,141567683.2197665
DS04,mc.BDES,BDES,baseline,42,144139391.76769313
DS04,mc.BDES,BDES,baseline,43,146749558.76871324
DS04,mc.BDES,BDES,baseline,44,149444885.94011143
DS04,mc.BDES,BDES,baseline,45,149342265.50437123
DS04,mc.BDES,BDES,baseline,46,149429792.21506298
DS04,mc.BDES,BDES,baseline,47,148651725.58968082
DS04,mc.BDES,BDES,baseline,48,144283358.93375275
DS04,mc.BDES,BDES,baseline,49,143368616.1276763
DS04,mc.BDES,BDES,baseline,50,149006135.3446397
DS04,mc.arima,arima,baseline,1,164835545.33147028
DS04,mc.arima,arima,baseline,2,166410097.27988142
DS04,mc.arima,arima,baseline,3,159759701.00858158
DS04,mc.arima,arima,baseline,4,165916947.09172496
DS04,mc.arima,arima,baseline,5,167197466.11674973
DS04,mc.arima,arima,baseline,6,166442843.0222177
DS04,mc.arima,arima,baseline,7,167238312.8463324
DS04,mc.arima,arima,baseline,8,163563267.52017468
DS04,mc.arima,arima,baseline,9,167437375.9289682
DS04,mc.arima,arima,baseline,10,163925122.7202337
DS04,mc.arima,arima,baseline,11,155912545.51325437
DS04,mc.arima,arima,baseline,12,160633230.72596312
DS04,mc.arima,arima,baseline,13,159330064.9586999
DS04,mc.arima,arima,baseline,14,159739479.89288646
DS04,mc.arima,arima,baseline,15,154247367.36435023
DS04,mc.arima,arima,baseline,16,162167553.38945737
DS04,mc.arima,arima,baseline,17,162098389.32867262
DS04,mc.arima,arima,baseline,18,166205067.49521428
DS04,mc.arima,arima,baseline,19,164738328.20104706
DS04,mc.arima,arima,baseline,20,152229419.21706524
DS04,mc.arima,arima,baseline,21,157539276.04723424
DS04,mc.arima,arima,baseline,22,157266960.14028496
DS04,mc.arima,arima,baseline,23,146343476.84132835
DS04,mc.arima,arima,baseline,24,157901975.97457072
DS04,mc.arima,arima,baseline,25,141193401.3751975
DS04,mc.arima,arima,baseline,26,142106449.45079625
DS04,mc.arima,arima,baseline,27,143375522.65984067
DS04,mc.arima,arima,baseline,28,159999392.3291577
DS04,mc.arima,arima,baseline,29,152005346.18876693
DS04,mc.arima,arima,baseline,30,151548233.6141809
DS04,mc.arima,arima,baseline,31,166246475.0886761
DS04,mc.arima,arima,baseline,32,135696568.37064904
DS04,mc.arima,arima,baseline,33,136365527.9355135
DS04,mc.arima,arima,baseline,34,135933473.55160144
DS04,mc.arima,arima,baseline,35,134738871.77558005
DS04,mc.arima,arima,baseline,36,130425390.68520865
DS04,mc.arima,arima,baseline,37,182107859.6511439
DS04,mc.arima,arima,baseline,38,180882402.14651343
DS04,mc.arima,arima,baseline,39,182101133.0589284
DS04,mc.arima,arima,baseline,40,161008066.1773256
DS04,mc.arima,arima,baseline,41,161952651.8291276
DS04,mc.arima,arima,baseline,42,170235050.26028538
DS04,mc.arima,arima,baseline,43,163046450.10605216
DS04,mc.arima,arima,baseline,44,165108328.12960356
DS04,mc.arima,arima,baseline,45,164874347.68420666
DS04,mc.arima,arima,baseline,46,164404974.90525427
DS04,mc.arima,arima,baseline,47,161896761.41241106
DS04,mc.arima,arima,baseline,48,166690301.20826927
DS04,mc.arima,arima,baseline,49,168665720.69262898
DS04,mc.arima,arima,baseline,50,167726659.1506203
DS04,mc.lm_OVERB,lm,OVERB,1,196325512.71290472
DS04,mc.lm_OVERB,lm,OVERB,2,174622350.6221592
DS04,mc.lm_OVERB,lm,OVERB,3,179994396.42302412
DS04,mc.lm_OVERB,lm,OVERB,4,178363755.5350961
DS04,mc.lm_OVERB,lm,OVERB,5,165870000.88678926
DS04,mc.lm_OVERB,lm,OVERB,6,166988178.5703022
DS04,mc.lm_OVERB,lm,OVERB,7,172569078.30261248
DS04,mc.lm_OVERB,lm,OVERB,8,174818678.31987265
DS04,mc.lm_OVERB,lm,OVERB,9,173476279.92057216
DS04,mc.lm_OVERB,lm,OVERB,10,175222300.42290697
DS04,mc.lm_OVERB,lm,OVERB,11,176432441.73573864
DS04,mc.lm_OVERB,lm,OVERB,12,186434076.0362293
DS04,mc.lm_OVERB,lm,OVERB,13,178298176.88638577
DS04,mc.lm_OVERB,lm,OVERB,14,177312331.71516708
DS04,mc.lm_OVERB,lm,OVERB,15,176035235.04211223
DS04,mc.lm_OVERB,lm,OVERB,16,174662278.66694307
DS04,mc.lm_OVERB,lm,OVERB,17,164862243.0402208
DS04,mc.lm_OVERB,lm,OVERB,18,166472989.09955397
DS04,mc.lm_OVERB,lm,OVERB,19,158235556.1050888
DS04,mc.lm_OVERB,lm,OVERB,20,150687481.45283955
DS04,mc.lm_OVERB,lm,OVERB,21,153304380.72941017
DS04,mc.lm_OVERB,lm,OVERB,22,157663820.0159062
DS04,mc.lm_OVERB,lm,OVERB,23,143966071.61528775
DS04,mc.lm_OVERB,lm,OVERB,24,149401348.04968572
DS04,mc.lm_OVERB,lm,OVERB,25,137885542.41391963
DS04,mc.lm_OVERB,lm,OVERB,26,136479986.79552877
DS04,mc.lm_OVERB,lm,OVERB,27,137607923.61270365
DS04,mc.lm_OVERB,lm,OVERB,28,143399575.143833
DS04,mc.lm_OVERB,lm,OVERB,29,144205779.55802456
DS04,mc.lm_OVERB,lm,OVERB,30,147049984.07998604
DS04,mc.lm_OVERB,lm,OVERB,31,162748454.20270628
DS04,mc.lm_OVERB,lm,OVERB,32,119259136.97053453
DS04,mc.lm_OVERB,lm,OVERB,33,118715119.55822872
DS04,mc.lm_OVERB,lm,OVERB,34,113810433.74906842
DS04,mc.lm_OVERB,lm,OVERB,35,113580925.37192574
DS04,mc.lm_OVERB,lm,OVERB,36,117978532.04494324
DS04,mc.lm_OVERB,lm,OVERB,37,174774911.37014437
DS04,mc.lm_OVERB,lm,OVERB,38,167259249.2026542
DS04,mc.lm_OVERB,lm,OVERB,39,168051150.68134144
DS04,mc.lm_OVERB,lm,OVERB,40,142330660.3623481
DS04,mc.lm_OVERB,lm,OVERB,41,147781754.81853262
DS04,mc.lm_OVERB,lm,OVERB,42,159259028.18177882
DS04,mc.lm_OVERB,lm,OVERB,43,155012102.40260625
DS04,mc.lm_OVERB,lm,OVERB,44,164145671.02410248
DS04,mc.lm_OVERB,lm,OVERB,45,161622870.113549
DS04,mc.lm_OVERB,lm,OVERB,46,179021480.5847947
