dataset_id,workflow,model_family,strategy,iteration,sera
DS11,mc.BDES,BDES,baseline,1,1468.8965176009444
DS11,mc.BDES,BDES,baseline,2,1481.4997431018364
DS11,mc.BDES,BDES,baseline,3,1475.7359668826275
DS11,mc.BDES,BDES,baseline,4,1455.3496906493897
DS11,mc.BDES,BDES,baseline,5,1452.73193348428
DS11,mc.BDES,BDES,baseline,6,1440.0187850580387
DS11,mc.BDES,BDES,baseline,7,1437.0769073733045
DS11,mc.BDES,BDES,baseline,8,1419.6830731364073
DS11,mc.BDES,BDES,baseline,9,1370.1756875165363
DS11,mc.BDES,BDES,baseline,10,1369.327832033284
DS11,mc.BDES,BDES,baseline,11,1321.8957785032535
DS11,mc.BDES,BDES,baseline,12,1302.6289649932864
DS11,mc.BDES,BDES,baseline,13,1310.2974799384922
DS11,mc.BDES,BDES,baseline,14,1260.1499584168191
DS11,mc.BDES,BDES,baseline,15,1243.4473934498822
DS11,mc.BDES,BDES,baseline,16,1239.504887552884
DS11,mc.BDES,BDES,baseline,17,1235.7329598631272
DS11,mc.BDES,BDES,baseline,18,1208.5347679907566
DS11,mc.BDES,BDES,baseline,19,1221.5022201625907
DS11,mc.BDES,BDES,baseline,20,1211.5887192970665
DS11,mc.BDES,BDES,baseline,21,1223.849035217423
DS11,mc.BDES,BDES,baseline,22,1213.2052804022596
DS11,mc.BDES,BDES,baseline,23,1014.6859106334394
DS11,mc.BDES,BDES,baseline,24,1027.0216924935323
DS11,mc.BDES,BDES,baseline,25,1099.9473817094076
DS11,mc.BDES,BDES,baseline,26,1107.5841313127607
DS11,mc.BDES,BDES,baseline,27,1036.0777451859003
DS11,mc.BDES,BDES,baseline,28,1044.6183915484291
DS11,mc.BDES,BDES,baseline,29,1051.59268790947
DS11,mc.BDES,BDES,baseline,30,1405.4261585521567
DS11,mc.BDES,BDES,baseline,31,1339.3466092598978
DS11,mc.BDES,BDES,baseline,32,1316.0736021357059
DS11,mc.BDES,BDES,baseline,33,1320.7402430205557
