dataset_id,workflow,model_family,strategy,iteration,sera
DS23,mc.BDES,BDES,baseline,1,1583380.0300886878
DS23,mc.BDES,BDES,baseline,2,2818839.857555671
DS23,mc.BDES,BDES,baseline,3,2866167.8909221874
DS23,mc.BDES,BDES,baseline,4,4759890.665282099
DS23,mc.BDES,BDES,baseline,5,11708054.803412784
DS23,mc.BDES,BDES,baseline,6,33365503.610423196
DS23,mc.BDES,BDES,baseline,7,33169926.741970632
DS23,mc.BDES,BDES,baseline,8,31919126.857742384
DS23,mc.BDES,BDES,baseline,9,31019692.395652436
DS23,mc.BDES,BDES,baseline,10,31113300.42973666
DS23,mc.BDES,BDES,baseline,11,31056529.217334837
DS23,mc.BDES,BDES,baseline,12,20924413.743723214
DS23,mc.BDES,BDES,baseline,13,20903624.721600935
DS23,mc.BDES,BDES,baseline,14,23818047.377125226
DS23,mc.BDES,BDES,baseline,15,23788140.876035698
DS23,mc.BDES,BDES,baseline,16,23747771.33589297
DS23,mc.BDES,BDES,baseline,17,23715647.899813086
DS23,mc.BDES,BDES,baseline,18,20634830.871906266
DS23,mc.BDES,BDES,baseline,19,15644771.444512753
DS23,mc.BDES,BDES,baseline,20,15551653.493899142
DS23,mc.BDES,BDES,baseline,21,15273675.106996765
DS23,mc.BDES,BDES,baseline,22,15079073.745202858
DS23,mc.BDES,BDES,baseline,23,14771532.496254101
DS23,mc.BDES,BDES,baseline,24,15489241.637113951
DS23,mc.BDES,BDES,baseline,25,16454026.358106423
DS23,mc.BDES,BDES,baseline,26,39193712.76393555
DS23,mc.BDES,BDES,baseline,27,52702556.82872063
DS23,mc.BDES,BDES,baseline,28,70907625.58867085
DS23,mc.BDES,BDES,baseline,29,97771097.74136811
DS23,mc.BDES,BDES,baseline,30,146235839.28554493
DS23,mc.BDES,BDES,baseline,31,168141319.45453632
DS23,mc.BDES,BDES,baseline,32,230458605.4130084
DS23,mc.BDES,BDES,baseline,33,254188292.179887
DS23,mc.BDES,BDES,baseline,34,257042595.65045297
DS23,mc.BDES,BDES,baseline,35,260846771.53927967
DS23,mc.BDES,BDES,baseline,36,285426872.60245913
DS23,mc.BDES,BDES,baseline,37,202834240.38467368
DS23,mc.BDES,BDES,baseline,38,116642103.19361553
DS23,mc.BDES,BDES,baseline,39,105059830.7792284
