dataset_id,workflow,model_family,strategy,iteration,sera
DS06,mc.BDES,BDES,baseline,1,12.622138372254357
DS06,mc.BDES,BDES,baseline,2,11.718599524210827
DS06,mc.BDES,BDES,baseline,3,11.459632624457473
DS06,mc.BDES,BDES,baseline,4,11.809968387264986
DS06,mc.BDES,BDES,baseline,5,11.780423242351576
DS06,mc.BDES,BDES,baseline,6,11.672105454448696
DS06,mc.BDES,BDES,baseline,7,11.460460630570426
DS06,mc.BDES,BDES,baseline,8,11.462279977583467
DS06,mc.BDES,BDES,baseline,9,11.684962812738915
DS06,mc.BDES,BDES,baseline,10,11.910103737284308
DS06,mc.BDES,BDES,baseline,11,11.45660384809438
DS06,mc.BDES,BDES,baseline,12,11.352401390663829
DS06,mc.BDES,BDES,baseline,13,11.1459027454013
DS06,mc.BDES,BDES,baseline,14,11.285575738335595
DS06,mc.BDES,BDES,baseline,15,11.205427779982767
DS06,mc.BDES,BDES,baseline,16,11.106865920097018
DS06,mc.BDES,BDES,baseline,17,11.058805312422358
DS06,mc.BDES,BDES,baseline,18,10.89140630963171
DS06,mc.BDES,BDES,baseline,19,10.85318381764721
DS06,mc.BDES,BDES,baseline,20,10.809389545852794
DS06,mc.BDES,BDES,baseline,21,10.721038391118627
DS06,mc.BDES,BDES,baseline,22,10.73956727270328
DS06,mc.BDES,BDES,baseline,23,10.7344029492307
DS06,mc.BDES,BDES,baseline,24,10.724560400164943
DS06,mc.BDES,BDES,baseline,25,10.688533211667677
DS06,mc.BDES,BDES,baseline,26,10.72726872043998
DS06,mc.BDES,BDES,baseline,27,10.718003859193445
DS06,mc.BDES,BDES,baseline,28,10.619758689334423
DS06,mc.BDES,BDES,baseline,29,10.601861589722677
DS06,mc.BDES,BDES,baseline,30,10.7514971825689
DS06,mc.BDES,BDES,baseline,31,10.738942063394541
DS06,mc.BDES,BDES,baseline,32,10.49245753105559
DS06,mc.BDES,BDES,baseline,33,10.464596511004062
DS06,mc.BDES,BDES,baseline,34,10.600659078497745
DS06,mc.BDES,BDES,baseline,35,10.576129765782374
DS06,mc.BDES,BDES,baseline,36,10.456668603827541
DS06,mc.BDES,BDES,baseline,37,10.455118894463322
DS06,mc.BDES,BDES,baseline,38,10.368706421883363
DS06,mc.BDES,BDES,baseline,39,10.354087499306685
DS06,mc.BDES,BDES,baseline,40,10.220393103868371
DS06,mc.BDES,BDES,baseline,41,9.906330089704017
DS06,mc.BDES,BDES,baseline,42,9.90836629906321
DS06,mc.BDES,BDES,baseline,43,10.043907875018476
DS06,mc.BDES,BDES,baseline,44,10.051266722276322
DS06,mc.BDES,BDES,baseline,45,10.13122243756577
DS06,mc.BDES,BDES,baseline,46,10.036764178492975
DS06,mc.BDES,BDES,baseline,47,9.94751678951688
DS06,mc.BDES,BDES,baseline,48,9.781209165920378
DS06,mc.BDES,BDES,baseline,49,9.844382880023101
DS06,mc.BDES,BDES,baseline,50,9.986213822901334
DS06,mc.arima,arima,baseline,1,13.284825156148953
DS06,mc.arima,arima,baseline,2,12.338851929316846
DS06,mc.arima,arima,baseline,3,12.054467203160367
DS06,mc.arima,arima,baseline,4,12.388484960565258
DS06,mc.arima,arima,baseline,5,12.318108368114082
DS06,mc.arima,arima,baseline,6,12.173384458424612
DS06,mc.arima,arima,baseline,7,11.972811729946898
DS06,mc.arima,arima,baseline,8,11.979680427539718
DS06,mc.arima,arima,baseline,9,10.507361373589488
DS06,mc.arima,arima,baseline,10,12.350015514424983
DS06,mc.arima,arima,baseline,11,10.757223650158826
DS06,mc.arima,arima,baseline,12,10.027721299871198
DS06,mc.arima,arima,baseline,13,10.40724314184417
DS06,mc.arima,arima,baseline,14,11.682021140850654
DS06,mc.arima,arima,baseline,15,11.62088058038545
DS06,mc.arima,arima,baseline,16,11.506294529568203
DS06,mc.arima,arima,baseline,17,10.287693762190809
DS06,mc.arima,arima,baseline,18,11.297765102241595
DS06,mc.arima,arima,baseline,19,11.233198346265386
DS06,mc.arima,arima,baseline,20,11.21441329092926
DS06,mc.arima,arima,baseline,21,9.95776392192297
DS06,mc.arima,arima,baseline,22,9.108681933451424
DS06,mc.arima,arima,baseline,23,9.26285305282914
DS06,mc.arima,arima,baseline,24,11.154392166592203
DS06,mc.arima,arima,baseline,25,11.092263885477955
DS06,mc.arima,arima,baseline,26,11.122608108883187
DS06,mc.arima,arima,baseline,27,9.150034534473468
DS06,mc.arima,arima,baseline,28,11.012097733053638
DS06,mc.arima,arima,baseline,29,11.013642448591852
DS06,mc.arima,arima,baseline,30,11.16908966950695
DS06,mc.arima,arima,baseline,31,11.1350164476072
DS06,mc.arima,arima,baseline,32,9.661291311067902
DS06,mc.arima,arima,baseline,33,9.634051958865237
DS06,mc.arima,arima,baseline,34,9.767735031560612
DS06,mc.arima,arima,baseline,35,9.74628070529874
DS06,mc.arima,arima,baseline,36,9.618095848554523
DS06,mc.arima,arima,baseline,37,9.611780332333598
DS06,mc.arima,arima,baseline,38,9.56480957130693
DS06,mc.arima,arima,baseline,39,8.813750912172994
DS06,mc.arima,arima,baseline,40,9.446835939287832
DS06,mc.arima,arima,baseline,41,8.929674457562758
DS06,mc.arima,arima,baseline,42,9.10801574953857
DS06,mc.arima,arima,baseline,43,9.274789276404238
DS06,mc.arima,arima,baseline,44,8.839390997002429
DS06,mc.arima,arima,baseline,45,9.369543886830545
DS06,mc.arima,arima,baseline,46,9.282739993588843
DS06,mc.arima,arima,baseline,47,8.431881339896966
DS06,mc.arima,arima,baseline,48,9.116385265110406
DS06,mc.arima,arima,baseline,49,9.197738052154586
DS06,mc.arima,arima,baseline,50,9.358828238534771
DS06,mc.lm_OVERB,lm,OVERB,1,12.917548865618594
DS06,mc.lm_OVERB,lm,OVERB,2,12.229138064424385
DS06,mc.lm_OVERB,lm,OVERB,3,11.99880642246175
DS06,mc.lm_OVERB,lm,OVERB,4,11.989461809673074
DS06,mc.lm_OVERB,lm,OVERB,5,11.558433036200304
DS06,mc.lm_OVERB,lm,OVERB,6,11.46201636020927
DS06,mc.lm_OVERB,lm,OVERB,7,11.43364711025821
DS06,mc.lm_OVERB,lm,OVERB,8,11.359460381843304
DS06,mc.lm_OVERB,lm,OVERB,9,11.568692554439668
DS06,mc.lm_OVERB,lm,OVERB,10,11.586645194576441
DS06,mc.lm_OVERB,lm,OVERB,11,11.105472954147439
DS06,mc.lm_OVERB,lm,OVERB,12,10.98519881587561
DS06,mc.lm_OVERB,lm,OVERB,13,10.723844991529377
DS06,mc.lm_OVERB,lm,OVERB,14,10.941620170474284
DS06,mc.lm_OVERB,lm,OVERB,15,10.729678348275366
DS06,mc.lm_OVERB,lm,OVERB,16,10.702042732998354
DS06,mc.lm_OVERB,lm,OVERB,17,10.666349698351215
DS06,mc.lm_OVERB,lm,OVERB,18,10.447615313359771
DS06,mc.lm_OVERB,lm,OVERB,19,10.455778427202453
DS06,mc.lm_OVERB,lm,OVERB,20,10.413648032014818
DS06,mc.lm_OVERB,lm,OVERB,21,10.328757318284508
DS06,mc.lm_OVERB,lm,OVERB,22,10.405216776372935
DS06,mc.lm_OVERB,lm,OVERB,23,10.26058330894873
DS06,mc.lm_OVERB,lm,OVERB,24,10.019587962317202
DS06,mc.lm_OVERB,lm,OVERB,25,10.012874222159335
DS06,mc.lm_OVERB,lm,OVERB,26,10.00893883054138
DS06,mc.lm_OVERB,lm,OVERB,27,10.102837685249735
DS06,mc.lm_OVERB,lm,OVERB,28,9.966633948535838
DS06,mc.lm_OVERB,lm,OVERB,29,9.916971632947575
DS06,mc.lm_OVERB,lm,OVERB,30,10.017628476812174
DS06,mc.lm_OVERB,lm,OVERB,31,9.976069722396373
DS06,mc.lm_OVERB,lm,OVERB,32,9.881877833773991
DS06,mc.lm_OVERB,lm,OVERB,33,9.786229822893691
DS06,mc.lm_OVERB,lm,OVERB,34,9.789324577481889
DS06,mc.lm_OVERB,lm,OVERB,35,9.819470160735031
DS06,mc.lm_OVERB,lm,OVERB,36,9.747314214973256
DS06,mc.lm_OVERB,lm,OVERB,37,9.692071855673008
DS06,mc.lm_OVERB,lm,OVERB,38,9.671617403470066
DS06,mc.lm_OVERB,lm,OVERB,39,9.618079052968472
DS06,mc.lm_OVERB,lm,OVERB,40,9.527965677309275
DS06,mc.lm_OVERB,lm,OVERB,41,9.26785477753389
DS06,mc.lm_OVERB,lm,OVERB,42,9.302119014027099
DS06,mc.lm_OVERB,lm,OVERB,43,9.315342945298617
DS06,mc.lm_OVERB,lm,OVERB,44,9.407006875453968
DS06,mc.lm_OVERB,lm,OVERB,45,9.454904653527242
DS06,mc.lm_OVERB,lm,OVERB,46,9.448477779627604
DS06,mc.lm_OVERB,lm,OVERB,47,9.453795255200795
DS06,mc.lm_OVERB,lm,OVERB,48,9.246289994170281
DS06,mc.lm_OVERB,lm,OVERB,49,9.356415705823032
DS06,mc.lm_OVERB,lm,OVERB,50,9.55711067603543
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,1,12.81790120308839
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,2,12.223319286362376
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,3,11.878255147645985
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,4,12.157349603067113
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,5,12.025608796334492
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,6,11.905956240022869
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,7,11.825818196209134
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,8,11.78250945668035
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,9,11.920399807262852
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,10,11.854772560255078
DS06,mc.lm_OVERTPhi,lm,OVERTPhi,11,11.57130323549816
