dataset_id,workflow,model_family,strategy,iteration,rmse
DS20,mc.BDES,BDES,baseline,1,0.008981769762917901
DS20,mc.BDES,BDES,baseline,2,0.008696463484818668
DS20,mc.BDES,BDES,baseline,3,0.008596904238628394
DS20,mc.BDES,BDES,baseline,4,0.008765555227959894
DS20,mc.BDES,BDES,baseline,5,0.008740084067006756
DS20,mc.BDES,BDES,baseline,6,0.008675375901366529
DS20,mc.BDES,BDES,baseline,7,0.008695851392696243
DS20,mc.BDES,BDES,baseline,8,0.008692451842259107
DS20,mc.BDES,BDES,baseline,9,0.008841315256797646
DS20,mc.BDES,BDES,baseline,10,0.008772587409134898
DS20,mc.BDES,BDES,baseline,11,0.008883052382838664
DS20,mc.BDES,BDES,baseline,12,0.008914730943073497
DS20,mc.BDES,BDES,baseline,13,0.009022587753333013
DS20,mc.BDES,BDES,baseline,14,0.008903274914497085
DS20,mc.BDES,BDES,baseline,15,0.008938907695566
DS20,mc.BDES,BDES,baseline,16,0.009134633039437498
DS20,mc.BDES,BDES,baseline,17,0.00901738488473602
DS20,mc.BDES,BDES,baseline,18,0.009175010804079065
DS20,mc.BDES,BDES,baseline,19,0.009171548255717293
DS20,mc.BDES,BDES,baseline,20,0.008866550385783097
DS20,mc.BDES,BDES,baseline,21,0.00893254758726512
DS20,mc.BDES,BDES,baseline,22,0.00896497092006368
DS20,mc.BDES,BDES,baseline,23,0.008915088169907198
DS20,mc.BDES,BDES,baseline,24,0.008939822079301036
DS20,mc.BDES,BDES,baseline,25,0.008891044012487127
DS20,mc.BDES,BDES,baseline,26,0.008810395791221833
DS20,mc.BDES,BDES,baseline,27,0.008825531086766815
DS20,mc.BDES,BDES,baseline,28,0.008692260977796908
DS20,mc.BDES,BDES,baseline,29,0.008752199905274594
DS20,mc.BDES,BDES,baseline,30,0.00856297011662848
DS20,mc.BDES,BDES,baseline,31,0.007550891350426948
DS20,mc.BDES,BDES,baseline,32,0.007552583739698173
DS20,mc.BDES,BDES,baseline,33,0.0069784885681975755
DS20,mc.BDES,BDES,baseline,34,0.006994130340973811
DS20,mc.BDES,BDES,baseline,35,0.007019906945011284
DS20,mc.BDES,BDES,baseline,36,0.006827074304050062
DS20,mc.BDES,BDES,baseline,37,0.006733437588177638
DS20,mc.BDES,BDES,baseline,38,0.00654234995967839
