dataset_id,workflow,model_family,strategy,iteration,rmse
DS05,mc.BDES,BDES,baseline,1,0.022141342773996413
DS05,mc.BDES,BDES,baseline,2,0.02173953538667631
DS05,mc.BDES,BDES,baseline,3,0.021424144759896437
DS05,mc.BDES,BDES,baseline,4,0.021907777824726946
DS05,mc.BDES,BDES,baseline,5,0.021873193621447164
DS05,mc.BDES,BDES,baseline,6,0.021660903354127594
DS05,mc.BDES,BDES,baseline,7,0.021664874935819364
DS05,mc.BDES,BDES,baseline,8,0.02173363863565611
DS05,mc.BDES,BDES,baseline,9,0.021896357706755933
DS05,mc.BDES,BDES,baseline,10,0.021884211193968283
DS05,mc.BDES,BDES,baseline,11,0.021899303884794885
DS05,mc.BDES,BDES,baseline,12,0.02191369130055225
DS05,mc.BDES,BDES,baseline,13,0.021882817238446022
DS05,mc.BDES,BDES,baseline,14,0.021904979576405758
DS05,mc.BDES,BDES,baseline,15,0.02189351231455335
DS05,mc.BDES,BDES,baseline,16,0.021905229810293053
DS05,mc.BDES,BDES,baseline,17,0.021860662839208202
DS05,mc.BDES,BDES,baseline,18,0.02189952057251545
DS05,mc.BDES,BDES,baseline,19,0.021918010164534818
DS05,mc.BDES,BDES,baseline,20,0.02192775812498363
DS05,mc.BDES,BDES,baseline,21,0.021905067966670928
DS05,mc.BDES,BDES,baseline,22,0.021858362515526183
DS05,mc.BDES,BDES,baseline,23,0.021832048440072638
DS05,mc.BDES,BDES,baseline,24,0.021991555767980144
DS05,mc.BDES,BDES,baseline,25,0.02199064377310896
DS05,mc.BDES,BDES,baseline,26,0.02195709157825619
DS05,mc.BDES,BDES,baseline,27,0.02196509237332352
DS05,mc.BDES,BDES,baseline,28,0.021889674507780003
DS05,mc.BDES,BDES,baseline,29,0.02189474612384178
DS05,mc.BDES,BDES,baseline,30,0.021898463624205
DS05,mc.BDES,BDES,baseline,31,0.021884451851115608
DS05,mc.BDES,BDES,baseline,32,0.02170094730124022
DS05,mc.BDES,BDES,baseline,33,0.021696768550335945
DS05,mc.BDES,BDES,baseline,34,0.021754326046881687
DS05,mc.BDES,BDES,baseline,35,0.021750667757233524
DS05,mc.BDES,BDES,baseline,36,0.021777976430898367
DS05,mc.BDES,BDES,baseline,37,0.021769961227591596
DS05,mc.BDES,BDES,baseline,38,0.02211493609462315
DS05,mc.BDES,BDES,baseline,39,0.022091567982090398
DS05,mc.BDES,BDES,baseline,40,0.021957642496467714
DS05,mc.BDES,BDES,baseline,41,0.021959087327806805
DS05,mc.BDES,BDES,baseline,42,0.02194020158488957
DS05,mc.BDES,BDES,baseline,43,0.02199928900515662
DS05,mc.BDES,BDES,baseline,44,0.021980331941059028
DS05,mc.BDES,BDES,baseline,45,0.021677084547732685
DS05,mc.BDES,BDES,baseline,46,0.021615602652948335
DS05,mc.BDES,BDES,baseline,47,0.02177553796580771
DS05,mc.BDES,BDES,baseline,48,0.021660820278839775
DS05,mc.BDES,BDES,baseline,49,0.0216442947885406
DS05,mc.BDES,BDES,baseline,50,0.02135127816192042
DS05,mc.arima,arima,baseline,1,0.02192009857271678
DS05,mc.arima,arima,baseline,2,0.02143478873049946
DS05,mc.arima,arima,baseline,3,0.021123795401542543
DS05,mc.arima,arima,baseline,4,0.02243057428842344
DS05,mc.arima,arima,baseline,5,0.022455291030032343
DS05,mc.arima,arima,baseline,6,0.022233939131282063
DS05,mc.arima,arima,baseline,7,0.022251610650600162
DS05,mc.arima,arima,baseline,8,0.02233281175831275
DS05,mc.arima,arima,baseline,9,0.0216130655997665
DS05,mc.arima,arima,baseline,10,0.022460308313871084
DS05,mc.arima,arima,baseline,11,0.02088431028651117
DS05,mc.arima,arima,baseline,12,0.021719436658657002
DS05,mc.arima,arima,baseline,13,0.022493776299528798
DS05,mc.arima,arima,baseline,14,0.022510891985805446
DS05,mc.arima,arima,baseline,15,0.021447088166613757
DS05,mc.arima,arima,baseline,16,0.021592011187870512
DS05,mc.arima,arima,baseline,17,0.022503082488050562
DS05,mc.arima,arima,baseline,18,0.02249167217788213
DS05,mc.arima,arima,baseline,19,0.02252669794234755
DS05,mc.arima,arima,baseline,20,0.02109986366846131
DS05,mc.arima,arima,baseline,21,0.022525438669512895
DS05,mc.arima,arima,baseline,22,0.022492762417874332
DS05,mc.arima,arima,baseline,23,0.022461352539930764
DS05,mc.arima,arima,baseline,24,0.022743746837363712
DS05,mc.arima,arima,baseline,25,0.022729729158818265
DS05,mc.arima,arima,baseline,26,0.02097428358581535
DS05,mc.arima,arima,baseline,27,0.022739118815563935
DS05,mc.arima,arima,baseline,28,0.022695352007330367
DS05,mc.arima,arima,baseline,29,0.022684677182577828
DS05,mc.arima,arima,baseline,30,0.022703672253194702
DS05,mc.arima,arima,baseline,31,0.02266277619480024
DS05,mc.arima,arima,baseline,32,0.022503136972389197
DS05,mc.arima,arima,baseline,33,0.022503576203763753
DS05,mc.arima,arima,baseline,34,0.022558901305230313
DS05,mc.arima,arima,baseline,35,0.022534540689829054
DS05,mc.arima,arima,baseline,36,0.022574918220570492
DS05,mc.arima,arima,baseline,37,0.022571806900216023
DS05,mc.arima,arima,baseline,38,0.023099816500151155
DS05,mc.arima,arima,baseline,39,0.0230793756514552
DS05,mc.arima,arima,baseline,40,0.022889229621024524
DS05,mc.arima,arima,baseline,41,0.022895161279206894
DS05,mc.arima,arima,baseline,42,0.022890871590018444
DS05,mc.arima,arima,baseline,43,0.022929002685907866
DS05,mc.arima,arima,baseline,44,0.02189338989245029
DS05,mc.arima,arima,baseline,45,0.021554767187020107
DS05,mc.arima,arima,baseline,46,0.02150636221658081
DS05,mc.arima,arima,baseline,47,0.021671607682266426
DS05,mc.arima,arima,baseline,48,0.02163939482303353
DS05,mc.arima,arima,baseline,49,0.021631281504524577
DS05,mc.arima,arima,baseline,50,0.021067510584150604
DS05,mc.lm_OVERB,lm,OVERB,1,0.029156262778056056
DS05,mc.lm_OVERB,lm,OVERB,2,0.02906258268125832
DS05,mc.lm_OVERB,lm,OVERB,3,0.028313724436088976
DS05,mc.lm_OVERB,lm,OVERB,4,0.02980157307956689
DS05,mc.lm_OVERB,lm,OVERB,5,0.02930727220715214
DS05,mc.lm_OVERB,lm,OVERB,6,0.028883768318256592
DS05,mc.lm_OVERB,lm,OVERB,7,0.029138732447898164
DS05,mc.lm_OVERB,lm,OVERB,8,0.028948416122855213
DS05,mc.lm_OVERB,lm,OVERB,9,0.02963909740174954
DS05,mc.lm_OVERB,lm,OVERB,10,0.02951593462061578
DS05,mc.lm_OVERB,lm,OVERB,11,0.029977766576353315
DS05,mc.lm_OVERB,lm,OVERB,12,0.02931399850772231
DS05,mc.lm_OVERB,lm,OVERB,13,0.030075666258847174
DS05,mc.lm_OVERB,lm,OVERB,14,0.030092520369314462
DS05,mc.lm_OVERB,lm,OVERB,15,0.029644945647469678
DS05,mc.lm_OVERB,lm,OVERB,16,0.02942157625583972
DS05,mc.lm_OVERB,lm,OVERB,17,0.029772557024775284
DS05,mc.lm_OVERB,lm,OVERB,18,0.029460089994365907
DS05,mc.lm_OVERB,lm,OVERB,19,0.029749237213841324
DS05,mc.lm_OVERB,lm,OVERB,20,0.02985206914550785
DS05,mc.lm_OVERB,lm,OVERB,21,0.030178657260774507
DS05,mc.lm_OVERB,lm,OVERB,22,0.030508206152170786
DS05,mc.lm_OVERB,lm,OVERB,23,0.03023301614123279
DS05,mc.lm_OVERB,lm,OVERB,24,0.03081917317107682
DS05,mc.lm_OVERB,lm,OVERB,25,0.02966174240601273
DS05,mc.lm_OVERB,lm,OVERB,26,0.030486742840723127
DS05,mc.lm_OVERB,lm,OVERB,27,0.030914103122684056
DS05,mc.lm_OVERB,lm,OVERB,28,0.030270984450820198
DS05,mc.lm_OVERB,lm,OVERB,29,0.030573762379795887
DS05,mc.lm_OVERB,lm,OVERB,30,0.031049997819641295
DS05,mc.lm_OVERB,lm,OVERB,31,0.030624045171440867
DS05,mc.lm_OVERB,lm,OVERB,32,0.0302800957471544
DS05,mc.lm_OVERB,lm,OVERB,33,0.030549956609532303
DS05,mc.lm_OVERB,lm,OVERB,34,0.03016605879261519
DS05,mc.lm_OVERB,lm,OVERB,35,0.030320422666093957
DS05,mc.lm_OVERB,lm,OVERB,36,0.030372270936220563
DS05,mc.lm_OVERB,lm,OVERB,37,0.03057583851670711
DS05,mc.lm_OVERB,lm,OVERB,38,0.03044780837164836
DS05,mc.lm_OVERB,lm,OVERB,39,0.031084583722757984
DS05,mc.lm_OVERB,lm,OVERB,40,0.030699043996017347
DS05,mc.lm_OVERB,lm,OVERB,41,0.029570910779399613
DS05,mc.lm_OVERB,lm,OVERB,42,0.029770681866511457
DS05,mc.lm_OVERB,lm,OVERB,43,0.029722876446637805
DS05,mc.lm_OVERB,lm,OVERB,44,0.028637179256472755
DS05,mc.lm_OVERB,lm,OVERB,45,0.028106309415177038
DS05,mc.lm_OVERB,lm,OVERB,46,0.028883076804105234
DS05,mc.lm_OVERB,lm,OVERB,47,0.028730689592830837
DS05,mc.lm_OVERB,lm,OVERB,48,0.028501211919597386
DS05,mc.lm_OVERB,lm,OVERB,49,0.028310604533814468
DS05,mc.lm_OVERB,lm,OVERB,50,0.028164584851440837
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,1,0.029782865862845263
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,2,0.030594991666725503
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,3,0.029373419429620524
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,4,0.03020267153804301
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,5,0.030795351043157462
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,6,0.030359353956427006
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,7,0.030947007966463547
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,8,0.029630794617308352
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,9,0.030775000335645123
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,10,0.03035580616872732
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,11,0.03093171091748504
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,12,0.030627077831848055
DS05,mc.lm_OVERTPhi,lm,OVERTPhi,13,0.030658945664484388
