dataset_id,workflow,model_family,strategy,iteration,rmse
DS14,mc.BDES,BDES,baseline,1,0.012921429837864668
DS14,mc.BDES,BDES,baseline,2,0.01286460784766444
DS14,mc.BDES,BDES,baseline,3,0.013129198320090128
DS14,mc.BDES,BDES,baseline,4,0.01329091214903211
DS14,mc.BDES,BDES,baseline,5,0.013511548562952327
DS14,mc.BDES,BDES,baseline,6,0.01337807735103366
DS14,mc.BDES,BDES,baseline,7,0.01338201749533004
DS14,mc.BDES,BDES,baseline,8,0.013471059430197193
DS14,mc.BDES,BDES,baseline,9,0.013484347315107352
DS14,mc.BDES,BDES,baseline,10,0.013591380567990969
DS14,mc.BDES,BDES,baseline,11,0.013586003352764695
DS14,mc.BDES,BDES,baseline,12,0.013558898463196571
DS14,mc.BDES,BDES,baseline,13,0.013469541564822666
DS14,mc.BDES,BDES,baseline,14,0.01349177132886184
DS14,mc.BDES,BDES,baseline,15,0.013514893628208359
DS14,mc.BDES,BDES,baseline,16,0.013671595471636773
DS14,mc.BDES,BDES,baseline,17,0.01351238438660298
DS14,mc.BDES,BDES,baseline,18,0.013787391069495513
DS14,mc.BDES,BDES,baseline,19,0.013748079821074127
DS14,mc.BDES,BDES,baseline,20,0.013681291811427175
DS14,mc.BDES,BDES,baseline,21,0.013689931776618192
DS14,mc.BDES,BDES,baseline,22,0.013744834961305102
DS14,mc.BDES,BDES,baseline,23,0.01378309772169809
DS14,mc.BDES,BDES,baseline,24,0.013727543202513959
DS14,mc.BDES,BDES,baseline,25,0.013569837310536945
DS14,mc.BDES,BDES,baseline,26,0.013470071499050211
DS14,mc.BDES,BDES,baseline,27,0.01342259626690735
DS14,mc.BDES,BDES,baseline,28,0.012980358128692554
DS14,mc.BDES,BDES,baseline,29,0.01304542939578676
DS14,mc.BDES,BDES,baseline,30,0.012698439393150162
DS14,mc.BDES,BDES,baseline,31,0.011667032159502617
DS14,mc.BDES,BDES,baseline,32,0.01157555738922129
DS14,mc.BDES,BDES,baseline,33,0.010904256639248204
DS14,mc.BDES,BDES,baseline,34,0.010980789282331581
DS14,mc.BDES,BDES,baseline,35,0.010940720782740755
DS14,mc.BDES,BDES,baseline,36,0.010857258209396243
DS14,mc.BDES,BDES,baseline,37,0.010323077262440071
DS14,mc.BDES,BDES,baseline,38,0.010135835419719902
DS14,mc.BDES,BDES,baseline,39,0.009713066953625277
