dataset_id,workflow,model_family,strategy,iteration,rmse
DS17,mc.BDES,BDES,baseline,1,0.013795497140395343
DS17,mc.BDES,BDES,baseline,2,0.013748039246538186
DS17,mc.BDES,BDES,baseline,3,0.01362032932549636
DS17,mc.BDES,BDES,baseline,4,0.013501251218357806
DS17,mc.BDES,BDES,baseline,5,0.013556687201044805
DS17,mc.BDES,BDES,baseline,6,0.013545384236135216
DS17,mc.BDES,BDES,baseline,7,0.013706781050236748
DS17,mc.BDES,BDES,baseline,8,0.01376481257612051
DS17,mc.BDES,BDES,baseline,9,0.013890935406245059
DS17,mc.BDES,BDES,baseline,10,0.013943524309122155
DS17,mc.BDES,BDES,baseline,11,0.01391266649516629
DS17,mc.BDES,BDES,baseline,12,0.013959409984512871
DS17,mc.BDES,BDES,baseline,13,0.013975357430191496
DS17,mc.BDES,BDES,baseline,14,0.013867317510963052
DS17,mc.BDES,BDES,baseline,15,0.013936123502127026
DS17,mc.BDES,BDES,baseline,16,0.013955458701565587
DS17,mc.BDES,BDES,baseline,17,0.014069406568356346
DS17,mc.BDES,BDES,baseline,18,0.014055165341234946
DS17,mc.BDES,BDES,baseline,19,0.014159872761075533
DS17,mc.BDES,BDES,baseline,20,0.014257304783911436
DS17,mc.BDES,BDES,baseline,21,0.014367350285277797
DS17,mc.BDES,BDES,baseline,22,0.014420205681183707
DS17,mc.BDES,BDES,baseline,23,0.014354980820769704
DS17,mc.BDES,BDES,baseline,24,0.014366451894789061
DS17,mc.BDES,BDES,baseline,25,0.014398852055654512
DS17,mc.BDES,BDES,baseline,26,0.014391451716920536
DS17,mc.BDES,BDES,baseline,27,0.014402223307812009
DS17,mc.BDES,BDES,baseline,28,0.014032699188714243
DS17,mc.BDES,BDES,baseline,29,0.014086014825522871
DS17,mc.BDES,BDES,baseline,30,0.014110604730507887
DS17,mc.BDES,BDES,baseline,31,0.013936071603341867
DS17,mc.BDES,BDES,baseline,32,0.013772140026126855
DS17,mc.BDES,BDES,baseline,33,0.013521411149640611
DS17,mc.BDES,BDES,baseline,34,0.013421448434300404
DS17,mc.BDES,BDES,baseline,35,0.013453031618314988
DS17,mc.BDES,BDES,baseline,36,0.01336244069228482
DS17,mc.BDES,BDES,baseline,37,0.013114622602880719
DS17,mc.BDES,BDES,baseline,38,0.012764995822081066
DS17,mc.BDES,BDES,baseline,39,0.012555560884838161
DS17,mc.BDES,BDES,baseline,40,0.012445844508919897
DS17,mc.BDES,BDES,baseline,41,0.012193012400263437
DS17,mc.BDES,BDES,baseline,42,0.012099894026989562
DS17,mc.BDES,BDES,baseline,43,0.0120799522663907
DS17,mc.BDES,BDES,baseline,44,0.01185675406230985
DS17,mc.BDES,BDES,baseline,45,0.011862808222788306
DS17,mc.BDES,BDES,baseline,46,0.011534038347925366
DS17,mc.BDES,BDES,baseline,47,0.011386186024889286
DS17,mc.BDES,BDES,baseline,48,0.011229338455578318
DS17,mc.BDES,BDES,baseline,49,0.010989858670881633
DS17,mc.BDES,BDES,baseline,50,0.010823748066606569
DS17,mc.arima,arima,baseline,1,0.014074056560807981
DS17,mc.arima,arima,baseline,2,0.014853827551930114
DS17,mc.arima,arima,baseline,3,0.014069043422144585
DS17,mc.arima,arima,baseline,4,0.013838744793750045
DS17,mc.arima,arima,baseline,5,0.013929070051491884
DS17,mc.arima,arima,baseline,6,0.013903029458331174
DS17,mc.arima,arima,baseline,7,0.014407231670462463
DS17,mc.arima,arima,baseline,8,0.014025003979483575
DS17,mc.arima,arima,baseline,9,0.014155496389962309
DS17,mc.arima,arima,baseline,10,0.014317378508073615
DS17,mc.arima,arima,baseline,11,0.014468836004482448
DS17,mc.arima,arima,baseline,12,0.014496626128360198
DS17,mc.arima,arima,baseline,13,0.014510015318048377
DS17,mc.arima,arima,baseline,14,0.014923163759712093
DS17,mc.arima,arima,baseline,15,0.014509693453468891
DS17,mc.arima,arima,baseline,16,0.01469127961123143
