dataset_id,workflow,model_family,strategy,iteration,rmse
DS08,mc.BDES,BDES,baseline,1,75.12612037240679
DS08,mc.BDES,BDES,baseline,2,75.38711570319535
DS08,mc.BDES,BDES,baseline,3,75.67909144945627
DS08,mc.BDES,BDES,baseline,4,78.34045797334645
DS08,mc.BDES,BDES,baseline,5,80.84734918347466
DS08,mc.BDES,BDES,baseline,6,82.34622541217838
DS08,mc.BDES,BDES,baseline,7,82.32880435570429
DS08,mc.BDES,BDES,baseline,8,82.66556078881896
DS08,mc.BDES,BDES,baseline,9,83.30827793337215
DS08,mc.BDES,BDES,baseline,10,83.6855149810715
DS08,mc.BDES,BDES,baseline,11,84.16267959673671
DS08,mc.BDES,BDES,baseline,12,84.25653031549882
DS08,mc.BDES,BDES,baseline,13,84.85835722296682
DS08,mc.BDES,BDES,baseline,14,85.2439019774937
DS08,mc.BDES,BDES,baseline,15,85.31654492919385
DS08,mc.BDES,BDES,baseline,16,86.01341599104812
DS08,mc.BDES,BDES,baseline,17,86.05627903723376
DS08,mc.BDES,BDES,baseline,18,86.58863397164531
DS08,mc.BDES,BDES,baseline,19,86.96311891431296
DS08,mc.BDES,BDES,baseline,20,86.83010122712827
DS08,mc.BDES,BDES,baseline,21,87.14340542145251
DS08,mc.BDES,BDES,baseline,22,87.29069332932077
DS08,mc.BDES,BDES,baseline,23,88.43892599928151
DS08,mc.BDES,BDES,baseline,24,90.81582974323578
DS08,mc.BDES,BDES,baseline,25,91.4578968752087
DS08,mc.BDES,BDES,baseline,26,91.78928414663407
DS08,mc.BDES,BDES,baseline,27,92.1253651938838
DS08,mc.BDES,BDES,baseline,28,91.88175440213371
DS08,mc.BDES,BDES,baseline,29,92.36749718899026
DS08,mc.BDES,BDES,baseline,30,91.88510799310102
DS08,mc.BDES,BDES,baseline,31,91.66965498250481
DS08,mc.BDES,BDES,baseline,32,92.37036785878891
DS08,mc.BDES,BDES,baseline,33,92.11750430319606
DS08,mc.BDES,BDES,baseline,34,92.37202019437878
DS08,mc.BDES,BDES,baseline,35,92.37929324383836
DS08,mc.BDES,BDES,baseline,36,92.3921031533721
DS08,mc.BDES,BDES,baseline,37,92.32416627419427
DS08,mc.BDES,BDES,baseline,38,91.95176359860496
DS08,mc.BDES,BDES,baseline,39,91.54410381735445
DS08,mc.BDES,BDES,baseline,40,91.2346576526736
DS08,mc.BDES,BDES,baseline,41,87.66966917326071
DS08,mc.BDES,BDES,baseline,42,87.65606406402866
DS08,mc.BDES,BDES,baseline,43,87.11498902420591
DS08,mc.BDES,BDES,baseline,44,86.89340867753549
DS08,mc.BDES,BDES,baseline,45,85.9092286911649
DS08,mc.BDES,BDES,baseline,46,85.24494868426807
DS08,mc.BDES,BDES,baseline,47,84.74036033400799
DS08,mc.BDES,BDES,baseline,48,82.4711921699469
DS08,mc.BDES,BDES,baseline,49,82.5471266679275
DS08,mc.BDES,BDES,baseline,50,79.57112867366486
DS08,mc.arima,arima,baseline,1,102.40013268718778
DS08,mc.arima,arima,baseline,2,102.79177180503594
DS08,mc.arima,arima,baseline,3,102.95095142375708
DS08,mc.arima,arima,baseline,4,106.13878600396238
DS08,mc.arima,arima,baseline,5,108.3034119060678
DS08,mc.arima,arima,baseline,6,109.55327271885166
DS08,mc.arima,arima,baseline,7,109.58831865987258
DS08,mc.arima,arima,baseline,8,109.91753248963147
DS08,mc.arima,arima,baseline,9,110.81310890151185
DS08,mc.arima,arima,baseline,10,110.86680085360364
DS08,mc.arima,arima,baseline,11,110.9718726285521
DS08,mc.arima,arima,baseline,12,111.3235953276874
DS08,mc.arima,arima,baseline,13,112.18587408158565
DS08,mc.arima,arima,baseline,14,112.28878404378356
DS08,mc.arima,arima,baseline,15,112.32870257777216
DS08,mc.arima,arima,baseline,16,113.23007550872256
DS08,mc.arima,arima,baseline,17,113.22237674898047
DS08,mc.arima,arima,baseline,18,113.49730894523623
DS08,mc.arima,arima,baseline,19,114.15932247995337
DS08,mc.arima,arima,baseline,20,114.15134341415303
DS08,mc.arima,arima,baseline,21,114.0621728835523
DS08,mc.arima,arima,baseline,22,114.55967913069163
DS08,mc.arima,arima,baseline,23,115.0945976032887
DS08,mc.arima,arima,baseline,24,118.39068994174521
