dataset_id,workflow,model_family,strategy,iteration,rmse
DS04,mc.BDES,BDES,baseline,1,1006.3404038586422
DS04,mc.BDES,BDES,baseline,2,1005.5549824924137
DS04,mc.BDES,BDES,baseline,3,1006.9942356974872
DS04,mc.BDES,BDES,baseline,4,1005.0466188642465
DS04,mc.BDES,BDES,baseline,5,1011.2173942076786
DS04,mc.BDES,BDES,baseline,6,1007.7348424567133
DS04,mc.BDES,BDES,baseline,7,1004.7658633263088
DS04,mc.BDES,BDES,baseline,8,1006.0334166081307
DS04,mc.BDES,BDES,baseline,9,1001.2988505734214
DS04,mc.BDES,BDES,baseline,10,1000.2101005069759
DS04,mc.BDES,BDES,baseline,11,998.045444026584
DS04,mc.BDES,BDES,baseline,12,986.1874569822666
DS04,mc.BDES,BDES,baseline,13,987.7976806211079
DS04,mc.BDES,BDES,baseline,14,984.6018577235891
DS04,mc.BDES,BDES,baseline,15,981.9728635230873
DS04,mc.BDES,BDES,baseline,16,999.8872547783877
DS04,mc.BDES,BDES,baseline,17,997.7048072584719
DS04,mc.BDES,BDES,baseline,18,997.2326581818123
DS04,mc.BDES,BDES,baseline,19,989.2097575234145
DS04,mc.BDES,BDES,baseline,20,976.8938795150486
DS04,mc.BDES,BDES,baseline,21,987.1396466656648
DS04,mc.BDES,BDES,baseline,22,987.9252809876398
DS04,mc.BDES,BDES,baseline,23,953.6527296245133
DS04,mc.BDES,BDES,baseline,24,978.4697511589867
DS04,mc.BDES,BDES,baseline,25,924.317299799062
DS04,mc.BDES,BDES,baseline,26,920.2807025240564
DS04,mc.BDES,BDES,baseline,27,932.7020473586456
DS04,mc.BDES,BDES,baseline,28,943.5954739040852
DS04,mc.BDES,BDES,baseline,29,943.4468627626757
DS04,mc.BDES,BDES,baseline,30,950.5459014189809
DS04,mc.BDES,BDES,baseline,31,997.5381891779255
DS04,mc.BDES,BDES,baseline,32,911.4475547040265
DS04,mc.BDES,BDES,baseline,33,873.2626781387197
DS04,mc.BDES,BDES,baseline,34,873.1875001510384
DS04,mc.BDES,BDES,baseline,35,874.2525935728936
DS04,mc.BDES,BDES,baseline,36,866.2703342877692
DS04,mc.BDES,BDES,baseline,37,978.5975394546947
DS04,mc.BDES,BDES,baseline,38,1036.0962290311559
DS04,mc.BDES,BDES,baseline,39,1029.0595544801356
DS04,mc.BDES,BDES,baseline,40,973.6231067617811
DS04,mc.BDES,BDES,baseline,41,964.1639792237984
DS04,mc.BDES,BDES,baseline,42,971.4813366301549
DS04,mc.BDES,BDES,baseline,43,983.8034281342041
DS04,mc.BDES,BDES,baseline,44,994.4258244601156
DS04,mc.BDES,BDES,baseline,45,993.1726429061473
DS04,mc.BDES,BDES,baseline,46,993.5508729154974
DS04,mc.BDES,BDES,baseline,47,996.8871689019379
DS04,mc.BDES,BDES,baseline,48,992.1170072447757
DS04,mc.BDES,BDES,baseline,49,989.3681002554216
DS04,mc.BDES,BDES,baseline,50,1012.7578764599928
DS04,mc.arima,arima,baseline,1,1065.5624865529112
DS04,mc.arima,arima,baseline,2,1067.894673164346
DS04,mc.arima,arima,baseline,3,1056.352710646269
DS04,mc.arima,arima,baseline,4,1069.85050620423
DS04,mc.arima,arima,baseline,5,1074.7018763049334
DS04,mc.arima,arima,baseline,6,1070.833400032242
DS04,mc.arima,arima,baseline,7,1070.8000651177185
DS04,mc.arima,arima,baseline,8,1068.1407546326238
DS04,mc.arima,arima,baseline,9,1075.7673958864152
DS04,mc.arima,arima,baseline,10,1068.9987203383887
DS04,mc.arima,arima,baseline,11,1058.2298500477789
DS04,mc.arima,arima,baseline,12,1059.7774779191345
DS04,mc.arima,arima,baseline,13,1055.9095983534237
DS04,mc.arima,arima,baseline,14,1056.0979807276058
DS04,mc.arima,arima,baseline,15,1048.6676274988574
DS04,mc.arima,arima,baseline,16,1070.6921653485779
DS04,mc.arima,arima,baseline,17,1068.164015588481
DS04,mc.arima,arima,baseline,18,1069.4866013413364
DS04,mc.arima,arima,baseline,19,1067.2668045351759
DS04,mc.arima,arima,baseline,20,1048.400505045303
DS04,mc.arima,arima,baseline,21,1054.501368440345
DS04,mc.arima,arima,baseline,22,1047.97970188371
DS04,mc.arima,arima,baseline,23,1026.2489387282312
DS04,mc.arima,arima,baseline,24,1045.279073853427
DS04,mc.arima,arima,baseline,25,1015.6290338716983
DS04,mc.arima,arima,baseline,26,1010.6989004112011
DS04,mc.arima,arima,baseline,27,1014.2901894088174
DS04,mc.arima,arima,baseline,28,1056.4111723276837
DS04,mc.arima,arima,baseline,29,1037.4707406328519
DS04,mc.arima,arima,baseline,30,1034.68713229428
DS04,mc.arima,arima,baseline,31,1071.7732243801515
DS04,mc.arima,arima,baseline,32,982.6567854314426
DS04,mc.arima,arima,baseline,33,989.0717501510915
DS04,mc.arima,arima,baseline,34,985.4215339627318
DS04,mc.arima,arima,baseline,35,986.3053671817325
DS04,mc.arima,arima,baseline,36,970.7171142900404
DS04,mc.arima,arima,baseline,37,1125.9084874740204
DS04,mc.arima,arima,baseline,38,1112.351820006409
DS04,mc.arima,arima,baseline,39,1112.0662585488592
DS04,mc.arima,arima,baseline,40,1054.7023273731215
DS04,mc.arima,arima,baseline,41,1059.001627217647
DS04,mc.arima,arima,baseline,42,1082.5148379577365
DS04,mc.arima,arima,baseline,43,1080.9185321205734
DS04,mc.arima,arima,baseline,44,1087.0132811891938
DS04,mc.arima,arima,baseline,45,1079.8155492896385
DS04,mc.arima,arima,baseline,46,1074.1919933390648
DS04,mc.arima,arima,baseline,47,1066.631223023557
DS04,mc.arima,arima,baseline,48,1100.0772402774517
DS04,mc.arima,arima,baseline,49,1116.8609330302136
DS04,mc.arima,arima,baseline,50,1126.684707726097
DS04,mc.lm_OVERB,lm,OVERB,1,1374.504191011559
DS04,mc.lm_OVERB,lm,OVERB,2,1290.9177640399869
DS04,mc.lm_OVERB,lm,OVERB,3,1288.7248518013391
DS04,mc.lm_OVERB,lm,OVERB,4,1273.6185862207512
DS04,mc.lm_OVERB,lm,OVERB,5,1231.07675529903
DS04,mc.lm_OVERB,lm,OVERB,6,1254.2637549404358
DS04,mc.lm_OVERB,lm,OVERB,7,1274.4660011920803
DS04,mc.lm_OVERB,lm,OVERB,8,1304.302663108509
DS04,mc.lm_OVERB,lm,OVERB,9,1300.2166941538005
DS04,mc.lm_OVERB,lm,OVERB,10,1311.1801663375195
DS04,mc.lm_OVERB,lm,OVERB,11,1306.6019264806037
DS04,mc.lm_OVERB,lm,OVERB,12,1351.494743056322
DS04,mc.lm_OVERB,lm,OVERB,13,1306.2837020120858
DS04,mc.lm_OVERB,lm,OVERB,14,1299.1222824793126
DS04,mc.lm_OVERB,lm,OVERB,15,1309.5436447437867
DS04,mc.lm_OVERB,lm,OVERB,16,1275.02991487898
DS04,mc.lm_OVERB,lm,OVERB,17,1239.7725975519847
DS04,mc.lm_OVERB,lm,OVERB,18,1250.6545995931597
DS04,mc.lm_OVERB,lm,OVERB,19,1231.1591674241
DS04,mc.lm_OVERB,lm,OVERB,20,1224.6582640796012
DS04,mc.lm_OVERB,lm,OVERB,21,1228.791725513521
DS04,mc.lm_OVERB,lm,OVERB,22,1219.3622056310091
DS04,mc.lm_OVERB,lm,OVERB,23,1179.3157059676514
DS04,mc.lm_OVERB,lm,OVERB,24,1161.6586764856302
DS04,mc.lm_OVERB,lm,OVERB,25,1162.5497992424364
DS04,mc.lm_OVERB,lm,OVERB,26,1157.2500269887764
DS04,mc.lm_OVERB,lm,OVERB,27,1161.274757848051
DS04,mc.lm_OVERB,lm,OVERB,28,1164.68386696146
DS04,mc.lm_OVERB,lm,OVERB,29,1196.909392013466
DS04,mc.lm_OVERB,lm,OVERB,30,1179.0109629888077
DS04,mc.lm_OVERB,lm,OVERB,31,1220.339178381699
DS04,mc.lm_OVERB,lm,OVERB,32,1205.3448656166818
DS04,mc.lm_OVERB,lm,OVERB,33,1208.4913671891522
DS04,mc.lm_OVERB,lm,OVERB,34,1148.0223244858537
DS04,mc.lm_OVERB,lm,OVERB,35,1156.3081595658912
DS04,mc.lm_OVERB,lm,OVERB,36,1166.3609282966108
DS04,mc.lm_OVERB,lm,OVERB,37,1290.6161828556276
DS04,mc.lm_OVERB,lm,OVERB,38,1279.3876662844696
DS04,mc.lm_OVERB,lm,OVERB,39,1230.1121378636963
DS04,mc.lm_OVERB,lm,OVERB,40,1242.3975086001446
DS04,mc.lm_OVERB,lm,OVERB,41,1236.1362240618962
DS04,mc.lm_OVERB,lm,OVERB,42,1278.479240010788
DS04,mc.lm_OVERB,lm,OVERB,43,1278.0108217419277
DS04,mc.lm_OVERB,lm,OVERB,44,1321.096998022626
DS04,mc.lm_OVERB,lm,OVERB,45,1306.7009300906436
DS04,mc.lm_OVERB,lm,OVERB,46,1329.197336471208
DS04,mc.lm_OVERB,lm,OVERB,47,1304.1101095607949
DS04,mc.lm_OVERB,lm,OVERB,48,1350.5497520200904
DS04,mc.lm_OVERB,lm,OVERB,49,1351.046677290558
DS04,mc.lm_OVERB,lm,OVERB,50,1394.3244444071697
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,1,1442.5129659934655
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,2,1371.3274490460883
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,3,1296.1067559148298
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,4,1280.6658999190513
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,5,1325.94546749353
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,6,1349.0539427587348
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,7,1305.873766012757
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,8,1450.9017741037953
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,9,1403.594026049019
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,10,1462.4752466488762
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,11,1350.5361300644627
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,12,1321.916664929761
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,13,1338.9126931416172
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,14,1277.247570719327
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,15,1247.8414087470496
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,16,1307.9661246672738
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,17,1306.2706625082656
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,18,1292.6316122736232
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,19,1277.5591028467652
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,20,1182.6558937314328
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,21,1176.1965265042757
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,22,1126.1992663218286
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,23,1162.0556397292046
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,24,1126.9145899176372
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,25,1140.799635624564
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,26,1178.4797059472503
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,27,1153.009876150635
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,28,1174.596983338433
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,29,1179.0228163749591
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,30,1177.9833093673333
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,31,1168.4127730606542
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,32,1277.2819408472299
DS04,mc.lm_OVERTPhi,lm,OVERTPhi,33,1300.8678188415158
